tx,block,actor,contract,event,status,day
0xb996792c4a5b4822401ed5bdbb609a6f4600c068431dd350b5c258f9e7423310,14956200,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0x26a39503ba24c0341e29291165c242d2a6cd091b1acfddd5bcb7c739a910dd54,14956200,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0x95c62a0e027cec00e36459001c41eaff36d7215c787a023e0287349f7ffaca06,14956200,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0xd9e44ee34e1ac83a12489d3c7bae047ebc88f1db03dbabbf7b3257a849904cda,14956200,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0xab047c8fde12fb87a178b829649f71d07e52893a364454b3e95d3d646b005a8e,14956200,0x0dF9490d983c890933167E9be97ffE3D4D6893Ad,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0x0e27b26749bcb4103da0eb4a2b8bae02bcb3dcbef86ed776569784a70b7d50e2,14956200,0x0dF9490d983c890933167E9be97ffE3D4D6893Ad,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0x91bdb360a6bd88fe72dce8a86ee7f6470ca08bb614b8fe379026b1fa9dc4a8e6,14955724,0xcD40532686B94aBc88b06B9705AAcBc14c8364D6,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0xed5247d416eb1fc069591a4b46d4140667ec36f5f8743a89af0b3240ad20e271,14955522,0x0EB4ADD4bA497357546DA7F5D12D39587cA24606,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0xddaafcd8d53da12432d599f854087d7ec1a044b7d19c1b84e833eec85b0ce458,14955518,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0x29213b99d3d673b819771f3df3ee6ca2584103183f0c0d7567c1e50fad1bae49,14955517,0x0EB4ADD4bA497357546DA7F5D12D39587cA24606,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0xda5c6d9075b288f9bd099a513daa8fe70d222bd92a60cc8dc8ef877cd9679264,14955517,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0xba12a8754522cce5c3d5df03928130993826d0a63d5a89b17e9017500aef62bb,14955517,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0xcb86c8949a35fa39e89e08b4ed4dcf26536bf568daa403ba755b2b2425911306,14955517,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0x51e2bfa339ee3e83a26d473d5252d3dbf1e3e37452c8cc303abe295067646abd,14955517,0x0dF9490d983c890933167E9be97ffE3D4D6893Ad,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0x2b025aabf655910a65f2f804b4c7a12f748a14d30193790fd4fafd1d0a2cfeed,14955517,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0x96cecd7e05a8d280854acfd3a00877b73e4edd60e1ff520d92b629164e6564dc,14955516,0xa7888F85BD76deeF3Bd03d4DbCF57765a49883b3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0xad9964bdf1ba19044be9e9c4f16b1a51c619f28e057b341908993f5c7efa095b,14955516,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0x399a9bd2dd8fe49027835d918d4d1aeacc4e12dc3a45f261f06a730966d9ec42,14955276,0xCcCEfA3A442fb16469e00C294752e8EB5e38b939,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
